,img_id,caption_list,pred_oscar,pred_sat,pred_nicplus,pred_niceq,bb_age
10,536,"['Three women in dresses, with two talking on the phone. ', 'A group of beautiful young women standing around together.', 'Three women in purple dresses on their cellphones at the same time. ', 'Two girls in dresses talk on mobile phones near a woman seated in a chair. ', 'Three women are dressed up and on cell phones.']",a group of women standing next to each other in a room.,a couple of women standing next to each other,a group of people standing in a room.,a group of people standing around a living room.,young
11,544,"['A baseball game is going on for the crowd. ', 'A baseball player holding a bat over the top of a base.', 'The stands are packed as a baseball player in a gray uniform holds a bat as a catcher holds out his mitt.', 'A man that has a baseball bat standing in the dirt.', 'A man swinging a bat at a baseball on a field.']",a baseball player swinging a bat on top of a field.,a baseball player swinging a bat during a game,a baseball player holding a bat on top of a field.,a baseball player swinging a bat at a ball.,old
12,564,"['There is no image here to provide a description for.', 'A male tennis player is in the middle of his game. ', 'A tennis player runs to hit the ball.', 'A person is playing tennis in a stadium.', 'A tennis player running with tennis racket in his hand.']",a man running across a tennis court holding a racquet.,a man standing on a tennis court holding a racquet,a man standing on a tennis court holding a racquet.,a male tennis player in action on the court.,old
13,589,"['A person doing karate in a field at night', 'A man standing on a lush green field holding a Frisbee.', 'A man throwing a frisbee in a dark field.', 'A man raring back with a frisbee in his hand while on a darkened field.', 'A man standing outside on the grass at night making body motions.']",a man standing on top of a lush green field.,a man throwing a frisbee in the dark,a man is throwing a frisbee in a park.,a man is playing frisbee in a field.,young
14,623,"['A woman on a bench is hugging a giant teddy bear.', 'A woman has her face close to a large stuffed bear.', 'A woman hods a stuffed pig close to her', 'A woman gives a snuggle to a  large teddy bear wearing an apron.', 'A woman poses with a large teddy bear.']",a woman is hugging a large teddy bear.,a woman holding a brown teddy bear,a woman holding a teddy bear in her arms.,a woman holding a teddy bear in her arms.,old
15,692,"['A women holding a baby brushing its teeth.', 'A smiling woman holding a baby has a camera in her hand.', 'a woman takes a photo of herself and her child. ', 'A woman is taking a picture of herself and a baby in the mirror.', 'A woman takes a picture of a baby in the mirror']",a woman taking a picture of a baby brushing it's teeth.,a young boy holding a baby in a bathroom,a young boy holding a toothbrush in his mouth.,a young boy is brushing his teeth with a toothbrush.,young
16,693,"['A cute little girl riding a skateboard in a store.', 'a young child on a skate board on a wooden floor', 'Little girl standing on a skate board in a sporting goods department.', 'A pre-school girl standing on a skateboard in a toy store', 'Girl in black dress standing on a skateboard in a store aisle.']",a little girl that is standing on a skateboard.,a little boy that is standing in a room,a woman in a red shirt is playing a video game.,a woman in a red dress holding a teddy bear.,young
17,785,"['A woman posing for the camera standing on skis.', 'a woman standing on skiis while posing for the camera', 'A woman in a red jacket skiing down a slope', 'A young woman is skiing down the mountain slope. ', 'a person on skis makes her way through the snow']",a woman riding skis down a snow covered slope.,a man riding skis down a snow covered slope,a man riding skis down a snow covered slope.,a person riding skis on a snowy surface.,old
18,831,"['A man on a skateboard is performing a trick at the park.', 'A man jumping a skateboard with tall buildings in the background.', 'A young male in the air with his skate board.', 'A skateboarder on his board in mid air.', 'A man does a skateboard trick at a park in a city.']",a man flying through the air while riding a skateboard.,a man flying through the air while riding a skateboard,a man riding a skateboard up the side of a ramp.,a man riding a skateboard up the side of a ramp.,young
19,872,"['A couple of baseball player standing on a field.', 'Two men playing baseball in a field on a sunny day.', 'two baseball players are playing baseball on a field', 'A couple of men play baseball and the batter runs for base.', 'Two guys playing baseball, with trees in the back.']",a baseball player pitching a ball on top of a field.,a young baseball player is throwing a ball,a baseball player swinging a bat at a ball.,a baseball player throwing a baseball on a field.,old
20,885,"['a male tennis player in white shorts is playing tennis', 'This woman has just returned a volley in tennis', 'A man holding a tennis racket playing tennis.', 'The man balances on one leg after serving a tennis ball.', 'Someone playing in a tennis tournament with a crowd looking on.']",a man on a court with a tennis racket.,a man on a court with a tennis racket,a tennis player in action on the court.,a female tennis player in action on the court.,old
21,962,"['A man prepares to serve a tennis ball.', 'a person is holding a ball and tennis racket', 'A man is preparing to serve his ball.', 'A man with long hair is about to hit a tennis ball.', 'A guy holding a tennis ball in one hand with a tennis racket in his other hand. ']",a man holding a tennis racquet on top of a tennis court.,a person on a court with a tennis racket,a man holding a tennis racquet on a tennis court.,a man holding a tennis racquet on a tennis court.,old
22,999,"['A young man kneeling on top of a base.', 'baseball player kneeling on ground near home plate', 'a man in a baseball uniform resting on his knees on the baseball field', 'A baseball player on home plate on his knees.', 'baseball player knealing on the field in orange shirt']",a baseball player sliding into a base during a game.,a baseball player sliding into a base on a field,a baseball player swinging a bat at a ball.,a baseball player swinging a bat at a ball.,old
23,1000,"['The people are posing for a group photo.', 'a large family poses for picture on tennis court', 'A group of young children standing next to each other.', 'A group of people that are standing near a tennis net.', 'A group of kids posing for a picture on a tennis court.']",a group of young people standing on top of a tennis court.,a group of people standing on a tennis court,a group of young men standing next to each other.,a group of young men standing next to each other.,young
24,1089,"['A demonic looking President Barrack Hussein Obama clasping his hands together.', 'A dark man has an eyebrow raised weirdly.', 'Picture of a man wearing a dark suit and blue tie who looks similar to Obama.', 'a painting of the president sitting with his hands folded in front of his face', 'A man is sitting at a table and posing as President Barack Obama.']",a man in a suit talking on a cell phone.,a man in a suit and tie talking on a cell phone,a man in a business suit talking on a cell phone.,a man in a suit and tie is smiling.,old
25,1146,"['A young man wearing black attire and a flowered tie is standing and smiling.', 'A man with glasses and his eyes closed dressed in a black shirt and a necktie.', 'A man in a green tie with his eyes closed.', 'Smiling man wearing black shirt and pale green tie.', 'A person that is dressed up very nicely.']",a man in a suit and tie standing in front of a window.,a man wearing a black shirt and a tie,a man in a suit and tie standing in a room.,a man in a suit and tie is smiling.,old
26,1149,"['Several men in suits and military gear standing near a table.', 'Military personnel and men in suits looking at examples of missiles on a table.', 'Men in uniforms and suits are looking at bomb-type weapons.', 'There are men in suits and men in uniform looking at shells.', 'A group of military men and men in suits observe examples of missiles.']",a group of men in military uniforms standing around a table.,a group of people standing around an airplane,a group of men standing next to each other.,a group of men standing next to each other.,old
27,1164,"['Two beautiful young ladies giving an elephant a bath in a river.', 'Two girls bathe an elephant lying on its side.', 'Two women wash an elephant in shallow water.', 'a big elephant taking a bath in the river with two girls', 'A very big pretty elephant laying down in the water.']",two women are petting an elephant in the water.,a man is washing an elephant in the water,a man riding on the back of an elephant.,a man riding on the back of an elephant.,young
28,1180,"['A woman standing over a sheet cake sitting on top of a table.', 'A LADY IS HAVING A CELEBRATION AND LOOKING AT HER CAKE', 'A lady in a hat standing in front of a big cake. ', 'A woman wearing a hat while looking at a cake.', 'A woman in a silly hat cuts the cake.']",a woman standing in front of a cake on a table.,a woman standing in front of a cake,a woman cutting a cake with a knife.,a woman is cutting a cake with a knife.,old
29,1268,"['A beautiful woman taking a picture with her smart phone.', 'People underneath an arched bridge near the water.', 'A girl is taking a picture of people fishing.', 'The woman is taking a photo of the white goose next to the river.', 'A waterway under a bridge with people sitting down and a woman taking a photo.']",a woman taking a picture of a bird on the edge of the water.,a woman is standing next to a body of water,a group of people walking down a city street.,a group of people sitting on a bench near a river.,young
30,1292,"['The woman is looking at the tennis racket ', 'A woman is inspecting the grip on her tennis racquet', 'A woman sitting on a chair indoors looks at the handle of a tennis racket.', 'A woman sitting in a chair examines a scroll.', 'a woman sitting on a chair taping up her tennis racket.']",a woman sitting in a chair in front of a table.,a woman sitting on a chair holding a clock,a woman sitting on a couch holding a book.,a man in a living room playing a video game.,young
31,1296,"['A woman holding a Hello Kitty phone on her hands.', 'A woman holds up her phone in front of her face.', 'A woman in white shirt holding up a cellphone.', 'A woman checking her cell phone with a hello kitty case.', 'The Asian girl is holding her Miss Kitty phone']",a woman taking a picture of herself with her cell phone.,a woman is holding up a cell phone,a woman holding a cell phone to her ear.,a woman holding a cell phone to her ear.,young
32,1369,"['A man in a wetsuit with a surfboard standing on a beach.', 'This is an image of a man with a surfboard looking at the ocean.', 'Rear view of surfboard holding man standing on beach.', 'A person with a surfboard stands at the water.', 'A man is holding a surfboard and staring out into the ocean.']",a person holding a surf board on a beach,a man holding a surfboard on the beach,a man carrying a surfboard on a beach.,a man standing on a beach holding a surfboard.,old
33,1404,"['A boy sitting on a black couch with teddy bears. ', 'a young boy on a couch holding two stuffed animals', 'A small boy is holding two stuffed animals in his lap', 'A young boy is playing with stuffed animals on a pleather couch.', 'A small child sitting on a couch with two stuffed animals']",a little boy sitting on a couch holding two teddy bears.,a baby sitting on a couch next to a teddy bear,a woman sitting on a bed with a teddy bear.,a young boy laying on a bed with a teddy bear.,young
34,1436,"['Young man wearing glasses lounging on a sofa with three white laptop computers on his lap.', 'A young man lieing down with three apple computers on his chest.', 'A man has three laptops stacked on his knees on the couch. ', 'A man relaxes with three laptops on his lap.', 'A man sits lies on a couch with 3 laptop computers stacked on him.']",a man sitting on a couch with two laptops.,a man sitting in front of a laptop computer,a man sitting in front of a laptop computer.,a man sitting in front of a laptop computer.,old
35,1591,"['A black and white picture of a television set.', 'a close up of a tv with people in the reflection ', 'A black and white photo of a tv is shown.', 'A reflection of a person off the face of a turned off television. ', 'A television with the reflection of a woman at a table.']",a black and white photo of a woman sitting at a table.,a picture of a room with a bed and a painting,a tv sitting on top of a wooden table.,a cat sitting on top of a television.,old
36,1592,"['A young girl on a beach chair kicking her leg out', 'A girl sitting outside sticks her foot out.', 'An adorable little girl sitting in a pink lawn chair.', ""A girl is sticking out her leg while sitting on a child's beach chair. "", 'A girl sits in a chair on a porch in summer']",a woman sitting in a lawn chair under a red umbrella.,a woman sitting on a bench under an umbrella,a woman sitting on a bench holding an umbrella.,a woman sitting on a bench holding an umbrella.,young
37,1667,"['A toddler with a fork in her mouth and a picnic table and people behind her.  ', 'A little girl with a white fork sicking out of her mouth.', 'A per-school age girl with frosting on her mouth holding a plastic fork', 'A girl in pink shirt with fork in her mouth.', 'Young toddler smiling in front of a picnic table licking frosting from fork.']",a little girl with a fork in her mouth.,a little girl holding a toothbrush in her mouth,a young boy brushing his teeth with a toothbrush.,a little girl eating a hot dog on a bun.,young
38,1668,"['Men on a baseball field with the batter holding the bat sideways.', 'a baseball player holding a bat on a field', 'Three members of the Rays baseball team on the baseballs field.', 'Baseball players are on the field in front of the scoreboard.', 'A professional baseball player is holding a bat.']",a group of baseball players standing on top of a field.,a baseball player is standing in a field,a baseball player holding a bat on a field.,a baseball player holding a bat on a field.,old
39,1700,"['A man riding a snow board on top of a snow covered slope.', 'A boy on a snowboard at the top of a hill. ', 'A young boy is riding a snowboard downhill', 'A picture of a young boy standing on a snowboard.', 'A young boy is attempting to slide down a slope.']",a young man riding a snowboard down a snow covered slope.,a man riding a snowboard down a snow covered slope,a man riding a snowboard down a snow covered slope.,a man riding a snowboard down a snow covered slope.,young
40,1757,"['Two very attractive women enjoy a glass of white wine.', 'A woman and her friend sitting on a table drinking wine.', 'Two women sitting at a table looking at another person with a shocked look.', 'Two women sitting at a table looking towards the head of it with a glass of wine in front of one', 'Two women sit at a table with wine glasses and papers.']",two women sitting at a table with wine glasses in front of them.,a woman sitting at a table with a glass of wine,a woman sitting at a table with a glass of wine.,a woman sitting at a table with a plate of food.,old
41,1841,"['Woman in a red hat covering half her face and tie. ', 'there is a woman wearing a hat and a tie', ""A woman's eyes are hidden by the cast of a shadow."", 'Woman wearing a hat wearing red lipstick and a tie.', 'A close-up of a woman wearing a hat and tie.']",a close up of a person wearing a shirt and tie,a woman in a black shirt and a tie,a woman wearing a hat and holding an umbrella.,a woman wearing a hat and holding an umbrella.,old
42,1948,"['A man holding a turkey that he murdered.', 'An old man is holding huge turkey upside down. ', 'A man in camouflage holds up a large dead turkey.', 'A man smiles while holding a large turkey.', 'A man in a hunting outfit holding a turkey.']",a man holding a large turkey in a forest.,a man is standing next to a statue of a elephant,a man standing next to a baby elephant.,a man sitting on a bench with an elephant behind him.,old
43,1955,"['A person that is flying a kite in the air.', 'A girl flies a kite over her head. ', 'A little girl is jumping and flying a colorful kite.', 'A pretty little girl flying a kite on a lush green field.', 'A little girl flying a pink and purple kite with polka dots.']",a young girl flying a kite in a park.,a little girl flying a kite in a field,a man is flying a kite in a field.,a girl is flying a kite in a field.,young
44,2142,"['A man sitting on top of a bench near some pigeons.', 'a person sitting on a bench and feeding birds ', 'A man sitting on a bench surrounded by birds', 'a man sits on a park bench surrounded by pidgeons', 'A man on a bench is covered with birds.']",a man sitting on a bench surrounded by pigeons.,a man riding a motorcycle down a street,a man sitting on a bench next to a pile of luggage.,a man sitting on top of a pile of luggage.,old
45,2153,"['Batter preparing to swing at pitch during major game.', 'A baseball player swinging a bat over home plate.', 'A baseball player with a bat in his hand as the pitcher gets ready to throw the ball. ', 'A baseball game where the batter is waiting for the pitch.', 'there is a male tennis player that is at base']",a baseball player holding a bat on top of a field.,a baseball player swinging a bat at a ball,a baseball player swinging a bat at a ball.,a baseball player holding a bat on a field.,old
46,2225,"['A little girl is eating a chocolate doughnut.', 'A small child eats a chocolate doughnut at a table.', 'A little girl eating a chocolate frosted donut.', 'A CHILD IS EATING A CHOCLATE DOUGHNOUT ', 'A little girl enjoying a sweet confection and awaiting a sugar rush.']",a little girl that is holding a cellphone to her ear.,a little girl holding a hot dog in her mouth,a woman holding a hot dog in her hands.,a woman holding a hot dog in her hands.,young
47,2235,"['A tennis player prepares to serve the ball.', 'A tennis player trying to hit the ball. ', 'A tennis player has sweat on his chest as he plays. ', 'a man on a tennis court holding a tennis racket', 'A tennis player watches the ball as he prepares to serve.']",a man holding a tennis racquet on top of a tennis court.,a woman holding a tennis racquet on a tennis court,a female tennis player in action on the court.,a female tennis player in action on the court.,old
48,2239,"[' a little girl holding onto a tennis racket with both hands ', 'A girl with racket on a tennis court.', 'A little girl is at a tennis court holding her racket.', 'A little girl that is on a tennis court with a racquet.', 'a small girl in a white shirt  is playing tennis']",a young girl holding a tennis racquet on a tennis court.,a young girl holding a tennis racket on a tennis court,a woman holding a tennis racquet on a tennis court.,a woman holding a tennis racquet on a tennis court.,young
49,2261,"['A man on a blue raft attempting to catch a ride on a large wave.', 'The boy is looking back at a wave in the ocean. ', 'A young man is body surfing and paddling in the water.', 'A man in a black shirt plays on an ocean wave.', 'A boy riding a boogie board in the ocean waves.']",a person riding a surf board on a body of water,a woman on a surfboard in the water,a man riding a wave on top of a surfboard.,a man riding a wave on top of a surfboard.,old
50,2477,"['A man that is sitting on a couch with a dog.', 'A man sitting on his couch using his laptop', 'A man sitting on a couch by a dog viewing a laptop.', 'A man sitting on a couch next to a dog.', 'The man is typing on his red laptop on a table']",a man sitting on a couch next to a dog.,a man sitting on a couch holding a cat,a man sitting on a couch next to a dog.,a man sitting on a couch with a cat.,old
51,2525,"['A clerk stands amid an ornate cupcake display.', 'a woman is selling fancy cupcake at a festival', 'The young woman is selling many types of cupcakes.', 'A young woman wearing a striped apron stands between trays of decorated cupcakes.', 'A woman sells cupcakes with fancy decorations on them.']",a woman standing in front of a display of cupcakes.,a woman standing in front of a table filled with food,a woman standing in front of a display of food.,a woman standing next to a display of food.,young
52,2562,"['A man hitting a tennis ball with a racquet.', 'champion tennis player swats at the ball hoping to win', 'A man is hitting his tennis ball with a recket on the court.', 'a tennis player on a court with a racket', 'A professional tennis player hits a ball as fans watch.']",a man hitting a tennis ball with a tennis racquet.,a man holding a tennis racquet on a tennis court,a male tennis player in action on the court.,a male tennis player in action on the court.,old
53,3103,"['A man riding a skateboard up the side of a wooden ramp.', 'A man is grinding a ramp on a skateboard', 'Man riding on edge of an oval ramp with a skate board.', 'A man in a helmet skateboarding before an audience.', 'A man on a skateboard is doing a trick.']",a man riding a skateboard up the side of a ramp.,a man riding a skateboard up the side of a ramp,a man riding a skateboard down the side of a ramp.,a man riding a skateboard up the side of a ramp.,old
54,3109,"['A woman is setting up an umbrella on a deck.', 'A women who is adjusting an umbrella outside.', 'A woman opens up and umbrella on a balcony.', 'the woman is holding on to an umbrella', 'A woman that is next to a fence under an umbrella.']",a woman standing on a balcony holding an umbrella.,a woman in a red dress is holding an umbrella,a woman walking down a street holding an umbrella.,a woman walking down a street holding an umbrella.,young
55,3156,"['A young man bending next to a toilet.', 'A man is kneeling and holding on to a toilet.', 'A man attempting to lift up a toilet off the floor.', 'A man fixing a toilet in a black and white photo.', 'A man wears gloves as he installs a toilet.']",a man sitting on a toilet in a bathroom.,a black and white photo of a man sitting on a toilet,a man sitting on a toilet in a bathroom.,a man sitting on a toilet in a bathroom.,old
56,3310,"['A woman is taking a bite out of a hot dog.', 'A person with a red hat bites into a hot dog.', 'The woman is enjoying her very large hot dog.', 'A person holding a napkin and eating a hotdog.', 'A young girl eats a large hot dog covered in sauerkraut, mustard, and relish.']",a girl eating a hot dog with mustard and ketchup.,a woman in a red jacket eating a banana,a man holding a hot dog in a bun.,a man eating a hot dog on a bun.,old
57,3326,"['A couple paddling in a canoe on a river', 'a man and a woman rowing a boat through the water of a lake', 'two people are on a canoe on the water', 'A woman riding on the back of a boat with a paddle.', 'Two people row a boat in a river.']",three people in a wooden boat on the water.,two people on a small boat in the water,a man is rowing a boat in the water.,a man sitting on a boat in the water.,old
58,3488,"['A teenager in a soccer uniform kicking a soccer ball.', 'The soccer player is running to kick the ball.', 'A man in white shirt with soccer ball on a field.', 'A soccer player getting ready to kick a ball.', 'a soccer player in the process of kicking the ball']",a man kicking a soccer ball across a field.,a young man kicking a soccer ball on a field,a young man kicking a soccer ball across a field.,a soccer player kicking a soccer ball on a field.,young
59,3580,"['A man sitting on a touch holding a game controller.', 'A man sitting on a sofa holding a game controller.', 'Person with a device sitting in a living room.', 'A man sitting on a couch playing with a game system.', 'A man lounging on a sofa holding a Wii remote.']",a man sitting on a couch holding a nintendo wii game controller.,a man sitting on a couch holding a wii remote,a man sitting on a couch in a living room.,a man sitting on a couch holding a nintendo wii game controller.,old
60,3590,"['A man sticking his head out of a doorway into a rainy city street.', 'A man peeks out a window during a light rain.', 'People are walking in the rain holding umbrellas.', 'People walking outside in the rain under umbrellas and a man peeking his head out of a doorway.', 'There are people walking down the street with umbrellas.']",a group of people walking down a street holding umbrellas.,a group of people walking down a rain soaked street,a woman walking down a street holding an umbrella.,a woman walking down a street holding an umbrella.,old
61,3716,"['there is a woman sitting on a bed using a lap top', 'a woman in glasses using an apple fruit', 'a girl in glasses is sitting at a laptop', 'a woman sitting on the couch with her laptop', 'a woman laying on a couch looking at a laptop']",a woman sitting on a couch using a laptop computer.,a woman sitting on a couch with a laptop,a woman sitting on a couch using a laptop computer.,a woman sitting on a couch using a laptop computer.,old
62,3761,"['a woman wearing a cowboy hat face to face with a horse ', 'Older person in hat and red, white, and blue jacket being nuzzled by a farm animal.', 'A woman in jacket with her face next to a brown horse.', 'A woman leaning away from a horse that came near her.', 'A woman looks as if she is rejecting a kiss from a horse. ']",a woman is petting the nose of a cow.,a man in a cowboy hat is petting a sheep,a woman is petting a brown horse in a pen.,a young girl is petting a brown horse.,old
63,3786,"['Woman with bookin sat on sidewalk from the top view', 'A pretty lady in a short dress reading a book.', 'A woman sitting on a bench with a book on her lap.', 'A woman that is sitting on a bench with a book.', 'A woman sitting on a bench with a book in her lap.']",a woman sitting on a bench reading a book.,a woman sitting on a floor with a book,a woman sitting on the ground with a skateboard.,a woman sitting on the ground holding a snowboard.,old
64,3837,"['The people are ready to go out on the water for their surfing lessons', 'A guy watches a girl getting on her surfboard.', 'A girl and a boy are standing at the waters edge with surf boards at their feet.', 'A beautiful woman stands on a surfboard with friends.', 'Surfers are practicing in the shore of a beach.']",a woman riding a surfboard on top of a sandy beach.,a woman on a surfboard in the water,a woman standing on a beach holding a surfboard.,a woman is sitting on a bench in the sand.,young
65,3934,"['A young girl in the foreground and a woman in a bridal dress and other adults in the background. ', 'A young girl holding a controller playing a video game.', 'A young girl playing a video game while others talk.', 'A little girl holding a white Nintendo Wii game controller.', 'A blurry photo of a girl concentrating next to what seems like party goers.']",a group of young people standing in a living room.,a couple of kids playing a video game,a group of people standing around a living room.,a group of people playing a video game.,young
66,3938,"['A woman is playing with a Nintendo Wii.', 'The woman is playing the video game in the room. ', 'A woman standing up in a room and holding a Wii video game controller in her hand.', 'woman holding a wii controller in a living room', 'An asian woman trying to learn an electronic device.']",a woman standing in a living room holding a nintendo wii controller.,a woman playing a game with a remote controller,a woman holding a nintendo wii game controller.,a woman holding a nintendo wii game controller.,old
67,3964,"['A woman holding a tennis racquet while wearing a straw hat.', 'A woman wearing a mask holding a racquet', 'The person wearing a mask is holding a tennis racket.', 'a woman wearing a mask standing and holding a tennis racket', 'A woman in a bamboo hat holding a tennis racquet.  ']",a woman holding a tennis racquet while standing in front of a stone wall.,a person holding a tennis racket on a tennis court,a man holding a tennis racquet on a tennis court.,a man holding a tennis racquet on a tennis court.,old
68,4011,"['Baker proudly displays her white dog cake in her kitchen', 'A woman wearing an apron standing next to a cake that looks like a white dog.', 'A  woman standing next to a cake in the shape of a dog', 'A woman standing next to a dog cake.', 'A woman standing next to a cake shaped like a dog.']",a woman standing in front of a white teddy bear.,a woman standing next to a white teddy bear,a woman is holding a teddy bear in her arms.,a woman holding a teddy bear in a room.,old
69,4021,"['A baseball field full of baseball players standing on a field.', 'a baseball player sliding in to home base', 'baseball players playing on a baseball field making a home run.', 'An Arizona Diamondbacks sliding to homebase in an MLB professional baseball game.', 'some professional baseball players playing a game for a large crowd ']",a group of men on a field playing baseball.,a group of men playing a game of baseball,a baseball player holding a bat on top of a field.,a baseball player holding a bat on top of a field.,old
70,4066,"['two people in the ocean with a surf board.', 'Two surfers in the ocean getting ready for a wave.', 'Two girls body board on shallow ocean waves', 'Two people are seen standing in the waves of the ocean.', 'Two people stand in waves with one holding a board.']",a couple of people that are in the water.,a couple of people on surfboards in the water,a man riding a wave on top of a surfboard.,a man riding a wave on top of a surfboard.,old
71,4092,"['The woman holding the video game remote looks shocked.', 'A woman playing a game with some remote controllers.', 'A woman standing in a room with a remote.', ""A portrait of a woman's funny face while playing a Wii."", 'Person standing while holding video game remotes in their hand.']",a young woman holding a nintendo wii game controller.,a little girl holding a black and white cake,a woman holding a donut in her hand.,a woman holding a piece of food in her hand.,old
72,4134,"['A man is shaking hands with another man.', 'Two men shake hands at a formal dinner gathering.', 'Two men standing next to each other holding hands.', 'Two men are shaking hands at a social gathering.', 'Two men shaking hands after a dinner speech.']",a man in a suit and tie standing next to a man in a dress.,a group of people standing around a table,a group of people standing around a cake.,a group of men standing next to each other.,old
73,4187,"['A tennis player prepares to hit the tennis ball', 'A man holding a tennis racquet in front of a tennis ball.', 'A picture of a tennis player about to hit a ball. ', 'A tennis player is swinging at a tennis ball.', 'a man is playing tennis and has a funny face while trying to hit the the ball']",a man hitting a tennis ball with a tennis racquet.,a man holding a tennis racquet on a tennis court,a male tennis player in action on the court.,a tennis player swinging a racket at a ball.,old
74,4211,"['A woman wearing a green dress walking across a field.', 'A woman in a dress watching two people joust.', 'A woman walking near a jousting tournament at the Renaissance Faire.', 'A woman in a green dress watches a joust.', 'A woman wearing a long flowing green dress walking past a joust fight.']",a woman in a green dress standing next to two horses.,a group of people sitting on top of a green field,a group of people riding on the backs of horses.,a group of people standing on top of a grass covered field.,old
75,4227,"['There is a tennis player about to hit a ball', 'Boy reaching up above his head to reach a tennis ball with his racket. ', 'A man reaching high to hit a tennis ball with a racket', 'Young man playing tennis reaching upward to hit ball.', 'A boy serves a tennis ball on the court.']",a young man hitting a tennis ball with a racquet.,a man holding a tennis racquet on a tennis court,a man swinging a tennis racquet on a tennis court.,a male tennis player in action on the court.,young
76,4243,"['There is a boy sitting near many baskets.', 'A young boy sitting on luggage on a luggage wagon', 'A boy sitting on several trunks that are sitting on a pulley.', 'A young boy is smiling while sitting on a luggage cart.', 'A young child sitting on a pile of luggage on a red cart.']",a young boy sitting on a cart full of luggage.,a young boy standing next to a suitcase,a man sitting on a bench in front of a store.,a man sitting on a bench with a laptop.,young
77,4246,"['A couple of young men standing next to each other on a street.', 'Two children on a street in a developing nation.', 'Two young boys standing in brick paved street.', 'Two kids standing in the street next to the curb', 'Two boys stand on a city street next to a curb.']",a couple of young boys standing on a sidewalk.,a little boy is walking down the street,a man walking down a street holding a red umbrella.,a woman walking down a street with a red umbrella.,young
